202tabanP;2021tabanY;2022tabanP;2022tabanY;2023tabanP;2023tabanY
398,1497;5,86;424,8415;5,97;454,5947;5,74
397,4527;5,95;424,8221;5,97;454,3033;5,8
397,4233;5,96;424,7759;5,98;454,2155;5,82
397,3926;5,96;424,6917;5,99;454,1396;5,83
397,3784;5,97;424,6274;6;453,8668;5,87
397,2669;5,98;424,6194;6;453,8403;5,87
397,2168;5,99;424,5035;6,02;453,8292;5,87
397,1212;6;424,4035;6,04;453,7408;5,88
397;5,99;424,3584;6,05;453,686;5,89
397;6,05;424,0313;6,09;453,6065;5,9
396,6348;6,07;424,0174;6,09;453,6064;5,91
396,5306;6,08;423,9827;6,1;453,596;5,91
396,5132;6,09;423,5434;6,16;453,5503;5,91
396,2303;6,12;423,3732;6,19;453,4901;5,92
395,9445;6,16;423,3213;6,19;453,48;5,92
395,9003;6,17;423,2662;6,2;453,4696;5,93
395,7966;6,18;423,2068;6,21;453,4645;5,93
395,7534;6,19;423;6,22;453,3853;5,94
395,6998;6,19;422,9612;6,24;453,2605;5,96
395,6396;6,2;422,9605;6,24;453,2396;5,97
395,6321;6,21;422,8949;6,25;453,154;5,98
395,3694;6,24;422,8385;6,26;453,0143;6
395,2997;6,25;422,7222;6,28;452,8909;6,01
395,2528;6,26;422,6747;6,28;452,8787;6,02
395,1748;6,27;422,4285;6,32;452,8478;6,02
395,0208;6,3;422,3824;6,33;452,8435;6,02
395;6,23;422,3367;6,33;452,547;6,07
395;6,33;422,23;6,34;452,4211;6,09
395;6,33;422,2295;6,34;452,1197;6,17
394,6235;6,35;422,2185;6,35;452,024;6,2
394,6015;6,36;422,1599;6,36;452,0143;6,2
394,4025;6,38;421,9313;6,39;451,9358;6,22
394,1321;6,42;421,9244;6,39;451,9358;6,22
394;6,39;421,7526;6,42;451,5891;6,28
393,7548;6,47;421,7074;6,43;451,4701;6,3
393,6283;6,49;421,5464;6,45;450,816;6,37
393,4983;6,51;421,4471;6,47;450,816;6,37
393,2003;6,55;421,2843;6,49;450,7071;6,39
393,1307;6,56;421,2761;6,49;450,5936;6,41
393,0216;6,58;421,2169;6,5;450,4864;6,43
393;6,52;421,2128;6,5;450,4673;6,43
393;6,53;421,1329;6,52;450,4673;6,43
392,7929;6,61;421;6,54;450,298;6,46
392,7398;6,62;420,8277;6,56;450,2322;6,47
392,5962;6,64;420,7365;6,57;450,0956;6,5
392,2338;6,69;420,6018;6,59;449,9738;6,52
392,1246;6,71;420,4492;6,62;449,8787;6,53
391,9161;6,74;420,4169;6,62;449,8784;6,53
391,3024;6,83;420,3582;6,63;449,7649;6,55
391,2355;6,84;419,9222;6,7;449,7505;6,55
391,1479;6,85;419,6148;6,74;449,7017;6,57
391;6,82;419,6001;6,74;449,6083;6,58
391;6,9;419,4573;6,77;449,4508;6,62
390,9623;6,88;419,2396;6,8;449,4462;6,62
390,6234;6,93;419;6,81;449,4347;6,62
390,4799;6,95;419;6,92;449,3982;6,63
390,4448;6,95;418,7535;6,88;449,1798;6,68
390,2947;6,98;418,4816;6,92;449,0974;6,7
390,2739;6,98;418,4209;6,93;448,9106;6,74
389,8811;7,05;418,2724;6,95;448,9077;6,74
389,6028;7,09;418;7,02;448,7166;6,78
389,5037;7,1;417,9524;7,01;448,5896;6,8
389,4649;7,11;417,9303;7,01;448,5896;6,8
389,0617;7,17;417,6898;7,04;448,5117;6,81
389;7,14;417,6597;7,05;448,2835;6,84
388,8586;7,2;417,4292;7,08;448,2481;6,85
388,8298;7,2;417,3476;7,09;448,083;6,87
388,8068;7,21;417,3206;7,1;447,9248;6,9
388,7743;7,21;417,1726;7,12;447,866;6,91
388,7058;7,22;417;7,18;447,7299;6,94
388,6203;7,23;417;7,22;447,5099;6,97
388,5242;7,25;416,9616;7,15;447,4721;6,98
388,5031;7,25;416,9573;7,15;447,3669;6,99
388,5;7,25;416,8971;7,16;447,3072;7
388,4115;7,27;416,8009;7,18;447,2162;7,02
388,1818;7,3;416,7481;7,18;447,0002;7,05
388,1608;7,3;416,3636;7,24;446,9965;7,05
388;7,31;416,3308;7,25;446,9873;7,06
388;7,31;416,3117;7,25;446,8074;7,09
388;7,37;416,2176;7,27;446,7873;7,09
387,8215;7,36;416;7,3;446,6935;7,12
387,7632;7,37;415,9616;7,31;446,5743;7,14
387,7432;7,37;415,9322;7,31;446,5649;7,14
387,7386;7,37;415,9003;7,32;446,5041;7,16
387,5465;7,4;415,6782;7,35;446,4837;7,17
387,3848;7,43;415,3603;7,4;446,3309;7,2
387,3569;7,43;415,3142;7,4;446,2973;7,21
387,2633;7,45;415,1728;7,43;446,1972;7,23
387,1363;7,47;415,0308;7,45;446,1845;7,23
387;7,47;415;7,42;446,1373;7,24
386,9468;7,5;414,9204;7,47;446,0445;7,26
386,5996;7,55;414,7432;7,49;445,752;7,3
386,4597;7,57;414,6374;7,51;445,6636;7,31
386,3691;7,58;414,5401;7,53;445,5153;7,33
386,2919;7,6;414,4196;7,54;445,3875;7,34
386,2604;7,6;414,2721;7,57;445,1662;7,38
386,2203;7,61;414,1744;7,58;445,0495;7,4
386,1018;7,63;414,0618;7,6;445,0204;7,4
386;7,64;414;7,64;444,8671;7,43
385,9945;7,64;413,9668;7,62;444,7293;7,46
385,8341;7,67;413,6137;7,67;444,4612;7,5
385,6138;7,7;413,5478;7,68;444,333;7,52
385,6068;7,71;413,5072;7,68;444,1452;7,56
385,6011;7,71;413,4973;7,69;444,1259;7,56
385,46;7,73;413,3383;7,71;444,0014;7,58
385,2072;7,77;413,2395;7,72;443,7649;7,63
385,0482;7,79;413,0907;7,75;443,7511;7,63
385;7,83;413,0491;7,75;443,6481;7,65
384,9061;7,82;413;7,75;443,5953;7,67
384,7888;7,83;412,9057;7,78;443,5913;7,67
384,7071;7,85;412,8222;7,79;443,5384;7,68
384,5497;7,87;412,6223;7,82;443,5162;7,68
384,3258;7,91;412,6206;7,82;443,5066;7,68
384,1695;7,93;412,5367;7,83;443,3669;7,71
384,1067;7,95;412,4503;7,85;443,33;7,72
384,0883;7,95;412,4385;7,85;443,3185;7,72
384,0639;7,95;412,2801;7,87;443,2034;6,22
384,0579;7,95;412,2422;7,88;443,1736;7,75
383,9593;7,97;412,2247;7,88;443,1725;7,75
383,7011;8,01;412,0224;7,91;443,1249;7,76
383,6119;8,02;412;7,87;442,9026;7,8
383,5505;8,03;412;7,96;442,8363;7,8
383,4895;8,04;411,9784;7,92;442,7213;7,82
383,4253;8,05;411,9675;7,92;442,6928;7,82
383,3292;8,07;411,9429;7,93;442,3922;7,87
383,2204;8,09;411,4479;8;442,3705;7,88
383,1811;8,09;411,3463;8,02;442,2921;7,89
383,1797;8,1;411,1382;8,05;442,0419;7,94
383,1739;8,1;411,0038;8,07;441,8897;7,96
383,0191;8,12;411;8;441,8814;7,97
382,6964;8,17;411;8,14;441,8417;7,97
382,5633;8,19;410,8151;8,1;441,6416;8
382,5485;8,19;410,7053;8,12;441,6004;8,01
382,5362;8,2;410,2937;8,19;441,4207;8,04
382,4428;8,21;410,1282;8,22;441,1236;8,1
382,3611;8,23;409,9757;8,24;441,0192;8,12
382;8,21;409,8734;8,26;440,8932;8,15
382;8,28;409,6727;8,29;440,7238;8,19
381,9454;8,29;409,6202;8,3;440,671;8,2
381,6414;8,34;409,3362;8,35;440,64;8,2
381,0875;8,44;409,2966;8,35;440,64;8,2
380,9445;8,46;409,2524;8,36;440,5925;8,21
380,9328;8,46;409,1809;8,37;440,5073;8,23
380,7959;8,48;409,0935;8,38;440,3233;8,26
380,7563;8,49;409,0723;8,39;440,242;8,27
380,7526;8,49;409,0626;8,39;440,217;8,28
380,6638;8,5;409;8,47;440,2035;8,28
380,6503;8,51;408,8711;8,42;439,8667;8,33
380,6116;8,51;408,8098;8,43;439,8536;8,33
380,4182;8,55;408,7955;8,43;439,8481;8,33
380,1189;8,6;408,7257;8,45;439,7194;8,35
380,0653;8,61;408,7027;8,45;439,7113;8,35
380;8,69;408,5927;8,47;439,5751;8,38
379,7443;8,65;408,4059;8,5;439,5349;8,38
379,7332;8,66;408,3509;8,51;439,4994;8,39
379,4803;8,7;408,2928;8,52;439,2525;8,43
379,4671;8,7;408,2582;8,53;439,1718;8,45
379,3653;8,72;408,2531;8,53;439,0794;8,46
379,3222;8,72;408,2516;8,53;439,0576;8,47
379,1973;8,75;408,2485;8,53;438,9022;8,5
379;8,76;408,0958;8,56;438,8481;8,51
378,9738;8,78;408;8,49;438,7758;8,52
378,9434;8,79;407,8051;8,6;438,7088;8,53
378,8481;8,8;407,7277;8,61;438,7088;8,53
378,6245;8,84;407,7208;8,62;438,7023;8,53
378,5846;8,85;407,6726;8,63;438,5349;8,56
378,5076;8,86;407,6647;8,63;438,4084;8,58
378,3564;8,89;407,4223;8,67;438,4016;8,59
378;8,89;407,3055;8,69;438,3269;8,6
377,9767;8,95;407,3039;8,69;438,291;8,6
377,5832;9,01;407,2677;8,69;438,2173;8,62
377,5734;9,01;407,2319;8,7;438,1488;8,63
377,5497;9,02;407,2057;8,7;438,1373;8,64
377,2914;9,06;407,1351;8,71;438,073;8,65
377,2567;9,07;407,1286;8,72;438,0712;8,65
377,1882;9,08;407;8,66;438,0382;8,66
377,0548;9,1;407;8,7;437,9284;8,68
377;9,13;407;8,74;437,9262;8,68
376,9593;9,12;406,9808;8,74;437,6023;8,74
376,9496;9,12;406,9773;8,75;437,5803;8,74
376,8256;9,14;406,6588;8,8;437,5538;8,75
376,7663;9,15;406,5889;8,81;437,4528;8,76
376,7465;9,15;406,5734;8,81;437,0846;8,82
376,7203;9,16;406,5176;8,82;437,0704;8,83
376,7013;9,16;406,4101;8,84;437,0154;8,83
376,6192;9,17;406,3883;8,85;436,7092;8,89
376,3155;9,23;406,3512;8,85;436,6791;8,89
376,0518;9,27;406,18;8,88;436,5873;8,91
